,id,kjkrfgld,bpowgknt,raksnhjf,vwpsxrgk,omtioxzz,yfmzwkru,tiwrsloh,weioazcf,poor
6995,90279,KfoTG,mDadf,rXCdD,,12.0,-3.0,-1.0,0.5,True
1321,52749,qzGkS,THHLT,DtMvg,bUhyU,3.0,-4.0,-1.0,0.5,True
3381,79260,AfgYR,DnomH,DtMvg,yygvO,21.0,-4.0,-1.0,0.5,True
3924,58262,qzGkS,THHLT,rXCdD,sPNOc,30.0,-2.0,-19.0,-44.5,False
3013,21729,qzGkS,THHLT,qTmDg,shPwO,30.0,-4.0,-1.0,0.5,False
5613,48400,qzGkS,zPfZR,DtMvg,NdlDR,21.0,-3.0,-7.0,-14.5,False
4030,90382,ljBjd,THHLT,DtMvg,vVbnO,12.0,-2.0,-1.0,0.5,True
2389,82085,KfoTG,THHLT,DtMvg,SaVqO,21.0,-2.0,-1.0,0.5,False
7452,40248,qzGkS,THHLT,rXCdD,,12.0,-2.0,1.0,5.5,False
2176,36380,KfoTG,zPfZR,zeYAm,ZCIYy,21.0,-2.0,-5.0,-9.5,True
4761,44380,,zPfZR,DtMvg,XAmOF,30.0,-3.0,1.0,5.5,False
8016,44164,Lsuai,THHLT,DtMvg,esAQH,3.0,-1.0,1.0,5.5,False
5495,25393,ljBjd,WXYiE,TKfyw,IJnCs,30.0,-4.0,1.0,5.5,False
1577,68337,KfoTG,THHLT,qTmDg,NdlDR,12.0,-2.0,-3.0,-4.5,False
7658,3543,KfoTG,THHLT,zeYAm,yKWYC,30.0,-3.0,-11.0,-24.5,True
3857,57552,qzGkS,THHLT,rXCdD,AjMVN,21.0,-4.0,-5.0,-9.5,True
4716,48346,qzGkS,THHLT,DtMvg,ZCIYy,30.0,0.0,-1.0,0.5,False
6133,83547,,THHLT,DtMvg,BidgV,30.0,-4.0,-5.0,-9.5,True
6847,76107,Lsuai,zPfZR,DtMvg,vVbnO,3.0,-3.0,3.0,10.5,False
7724,78330,qzGkS,THHLT,zeYAm,BidgV,21.0,-2.0,-11.0,-24.5,False
6240,50704,Lsuai,THHLT,qTmDg,esAQH,12.0,-4.0,-1.0,0.5,False
2822,63815,qzGkS,DnomH,qTmDg,ARuYG,21.0,-3.0,-3.0,-4.5,False
6515,8373,GVYCk,zPfZR,DtMvg,tXtkv,21.0,-2.0,-7.0,-14.5,True
3926,56106,KfoTG,THHLT,rXCdD,sPNOc,21.0,-2.0,-5.0,-9.5,False
7543,67882,Lsuai,zPfZR,qTmDg,puHHm,21.0,-3.0,-1.0,0.5,True
1407,23575,qzGkS,mDadf,rXCdD,sPNOc,12.0,-4.0,3.0,10.5,False
7853,58103,Lsuai,THHLT,DtMvg,esAQH,12.0,-3.0,-3.0,-4.5,False
20,28608,KfoTG,zPfZR,DtMvg,hmAUm,12.0,-4.0,-5.0,-9.5,False
3937,2033,Lsuai,THHLT,zeYAm,BidgV,12.0,-2.0,-5.0,-9.5,False
7600,25839,KfoTG,hMHca,DtMvg,esAQH,12.0,-4.0,-3.0,-4.5,False
6030,12102,qzGkS,THHLT,DtMvg,yKWYC,21.0,-4.0,,10.5,False
4029,83166,GVYCk,DnomH,DtMvg,ZlqSm,,-3.0,-7.0,-14.5,True
6447,5067,qzGkS,THHLT,qTmDg,ARuYG,21.0,-4.0,-5.0,-9.5,True
3107,96834,qzGkS,THHLT,zeYAm,IDkCg,12.0,-3.0,1.0,5.5,False
2339,66806,Lsuai,THHLT,zeYAm,qNABl,30.0,-2.0,-9.0,-19.5,False
6057,42763,ljBjd,DnomH,DtMvg,yygvO,21.0,-2.0,3.0,10.5,False
6640,93994,Lsuai,THHLT,DtMvg,,12.0,-2.0,-13.0,-29.5,False
863,16921,qzGkS,zPfZR,DtMvg,puHHm,30.0,-4.0,1.0,5.5,False
1441,56676,Lsuai,mDadf,zeYAm,VJaVA,3.0,-4.0,3.0,10.5,False
6698,80518,KfoTG,zPfZR,rXCdD,qNABl,21.0,-3.0,-3.0,-4.5,True
7485,39162,KfoTG,THHLT,DtMvg,vVbnO,30.0,-3.0,-5.0,-9.5,False
2104,28988,Lsuai,THHLT,TKfyw,puHHm,12.0,-3.0,-3.0,-4.5,True
679,35728,KfoTG,THHLT,zeYAm,BidgV,21.0,-4.0,-5.0,-9.5,True
7594,28764,qzGkS,THHLT,DtMvg,vVbnO,12.0,-4.0,-7.0,-14.5,True
5708,35441,Lsuai,THHLT,TKfyw,xzgJe,3.0,-4.0,3.0,10.5,False
7057,1386,tnDpM,THHLT,TKfyw,AjMVN,3.0,,-7.0,-14.5,False
7154,12978,AfgYR,zPfZR,qTmDg,ZCIYy,12.0,-4.0,-9.0,-19.5,True
6636,47738,qzGkS,THHLT,DtMvg,shPwO,3.0,-4.0,-3.0,-4.5,True
17,26452,KfoTG,THHLT,DtMvg,RpXJc,30.0,-3.0,-7.0,-14.5,True
6946,36816,KfoTG,mDadf,DtMvg,SaVqO,30.0,-4.0,-15.0,-34.5,True
6481,68258,Lsuai,DnomH,zeYAm,ZlqSm,21.0,-4.0,1.0,5.5,True
7685,63995,Lsuai,mDadf,TKfyw,xzgJe,30.0,-3.0,-1.0,0.5,True
5270,61787,AfgYR,mDadf,rXCdD,ZCIYy,21.0,-2.0,-19.0,-44.5,True
6368,76042,tnDpM,THHLT,qTmDg,tXtkv,21.0,-2.0,-11.0,-24.5,False
6061,91942,KfoTG,zPfZR,DtMvg,RpXJc,12.0,-4.0,-5.0,-9.5,True
734,10929,KfoTG,,zeYAm,BidgV,12.0,-4.0,1.0,5.5,True
5328,37776,qzGkS,mDadf,zeYAm,QRKWz,21.0,-4.0,-9.0,-19.5,True
7648,3100,KfoTG,THHLT,DtMvg,esAQH,12.0,-2.0,-3.0,-4.5,True
6031,44696,Lsuai,THHLT,DtMvg,DBUky,12.0,-2.0,-3.0,-4.5,False
6866,77933,Lsuai,mDadf,DtMvg,QRKWz,21.0,-4.0,-11.0,-24.5,False
6498,14645,tnDpM,THHLT,TKfyw,AjMVN,12.0,-4.0,-3.0,-4.5,False
792,47903,qzGkS,THHLT,zeYAm,xzgJe,30.0,-3.0,-7.0,-14.5,True
2965,96472,Lsuai,hMHca,zeYAm,,21.0,-2.0,-9.0,-19.5,False
4561,96864,KfoTG,zPfZR,rXCdD,IDkCg,21.0,-3.0,-11.0,-24.5,True
4367,19179,KfoTG,zPfZR,rXCdD,vVbnO,12.0,-3.0,-3.0,-4.5,True
5816,27461,GVYCk,zPfZR,TKfyw,tXtkv,21.0,-2.0,1.0,5.5,False
3556,330,Lsuai,THHLT,DtMvg,XHmQd,12.0,-3.0,-3.0,-4.5,True
4391,32264,Lsuai,zPfZR,qTmDg,hmAUm,21.0,-4.0,-1.0,0.5,True
243,4411,Lsuai,THHLT,DtMvg,puHHm,21.0,-4.0,-9.0,-19.5,True
3048,28245,qzGkS,mDadf,qTmDg,xzgJe,12.0,-4.0,-3.0,-4.5,True
3255,16077,qzGkS,THHLT,DtMvg,XAmOF,30.0,-2.0,-3.0,-4.5,False
7632,91561,Lsuai,THHLT,rXCdD,AjMVN,12.0,-4.0,-3.0,-4.5,True
2930,10594,AfgYR,mDadf,qTmDg,ZCIYy,12.0,-3.0,-3.0,-4.5,True
2996,42623,qzGkS,mDadf,,qXvRS,21.0,-3.0,-3.0,-4.5,False
5266,8583,qzGkS,THHLT,DtMvg,tXtkv,,-3.0,-5.0,,True
5999,40903,ljBjd,THHLT,DtMvg,esAQH,12.0,-4.0,-17.0,-39.5,True
4530,47852,Lsuai,THHLT,DtMvg,sPNOc,39.0,-3.0,-13.0,-29.5,True
7557,75972,qzGkS,THHLT,DtMvg,yygvO,21.0,-4.0,-11.0,-24.5,False
3614,54301,AfgYR,zPfZR,DtMvg,tXtkv,12.0,-3.0,-3.0,-4.5,True
7366,63722,qzGkS,THHLT,DtMvg,shPwO,12.0,-2.0,-1.0,0.5,False
4689,59681,ljBjd,THHLT,DtMvg,AjMVN,21.0,-2.0,-3.0,-4.5,True
450,4277,KfoTG,THHLT,DtMvg,xzgJe,12.0,-4.0,-1.0,0.5,True
430,67554,Lsuai,THHLT,rXCdD,QRKWz,21.0,-4.0,-5.0,-9.5,False
6009,37630,qzGkS,DnomH,zeYAm,ZlqSm,-127.0,-3.0,-13.0,-29.5,True
6541,7263,Lsuai,mDadf,rXCdD,IJnCs,21.0,-4.0,-5.0,-9.5,True
707,27887,qzGkS,,DtMvg,ARuYG,,-3.0,-9.0,-19.5,False
2504,18868,Lsuai,THHLT,DtMvg,ARuYG,21.0,-2.0,-5.0,-9.5,False
37,12138,KfoTG,mDadf,qTmDg,qcizG,21.0,-2.0,-1.0,0.5,False
6444,35709,ljBjd,mDadf,zeYAm,ZlqSm,21.0,-3.0,-5.0,-9.5,True
5988,77453,qzGkS,WXYiE,DtMvg,mIqzL,3.0,-2.0,-3.0,,False
2589,9685,Lsuai,WXYiE,DtMvg,qXvRS,12.0,-4.0,-1.0,0.5,True
5286,79963,qzGkS,THHLT,DtMvg,bUhyU,21.0,-4.0,-11.0,-24.5,False
5264,19380,qzGkS,mDadf,rXCdD,vVbnO,3.0,-3.0,-1.0,0.5,True
624,83756,ljBjd,THHLT,TKfyw,ARuYG,30.0,-3.0,-3.0,-4.5,False
7398,18842,qzGkS,mDadf,qTmDg,VJaVA,3.0,-2.0,-1.0,0.5,True
2155,25001,ljBjd,WXYiE,TKfyw,puHHm,3.0,-2.0,-3.0,-4.5,False
6357,17249,KfoTG,THHLT,DtMvg,tXtkv,3.0,-3.0,-9.0,-19.5,True
7191,86707,ljBjd,mDadf,rXCdD,IJnCs,30.0,-3.0,-7.0,-14.5,False
5491,72460,KfoTG,zPfZR,zeYAm,xzgJe,3.0,-4.0,-5.0,-9.5,True
1075,52104,qzGkS,WXYiE,qTmDg,mIqzL,12.0,-3.0,,-4.5,False
4764,10361,qzGkS,THHLT,TKfyw,SaVqO,21.0,-4.0,1.0,5.5,False
2815,10042,qzGkS,,DtMvg,sPNOc,12.0,-3.0,-11.0,-24.5,True
6313,31811,Lsuai,THHLT,DtMvg,yygvO,21.0,-2.0,-5.0,-9.5,False
7850,60704,KfoTG,zPfZR,qTmDg,sPNOc,21.0,-2.0,-1.0,0.5,False
3663,48720,UhSVl,THHLT,zeYAm,ZlqSm,12.0,,-1.0,0.5,False
413,73878,tnDpM,mDadf,qTmDg,XAmOF,21.0,-3.0,-5.0,-9.5,False
3491,73957,GVYCk,DnomH,zeYAm,ZlqSm,21.0,-4.0,-7.0,-14.5,True
2342,6445,Lsuai,THHLT,DtMvg,sPNOc,21.0,-1.0,-5.0,-9.5,False
143,52382,qzGkS,THHLT,qTmDg,VJaVA,12.0,-2.0,-11.0,-24.5,True
4351,79961,KfoTG,THHLT,qTmDg,tXtkv,12.0,-3.0,-7.0,-14.5,True
4730,62879,Lsuai,THHLT,qTmDg,xzgJe,12.0,-4.0,-1.0,0.5,True
5688,27569,Lsuai,zPfZR,zeYAm,NdlDR,21.0,-1.0,3.0,10.5,False
6754,98707,GVYCk,mDadf,DtMvg,ZlqSm,12.0,-3.0,3.0,10.5,False
7481,90426,tnDpM,zPfZR,DtMvg,puHHm,12.0,-4.0,-5.0,-9.5,True
848,80049,qzGkS,mDadf,DtMvg,ARuYG,12.0,-3.0,-1.0,0.5,False
6288,53776,Lsuai,THHLT,DtMvg,hmAUm,12.0,-2.0,3.0,10.5,False
5980,95803,qzGkS,THHLT,DtMvg,shPwO,21.0,-3.0,-7.0,-14.5,True
6082,22645,KfoTG,zPfZR,TKfyw,xzgJe,,,-5.0,-9.5,True
4375,6740,qzGkS,THHLT,DtMvg,lwCkE,3.0,-3.0,-1.0,0.5,False
5165,39224,KfoTG,THHLT,TKfyw,xzgJe,,-4.0,-11.0,-24.5,True
1942,84928,KfoTG,zPfZR,DtMvg,DBUky,30.0,-1.0,-13.0,-29.5,False
1617,72320,ljBjd,zPfZR,TKfyw,xzgJe,12.0,-4.0,-3.0,-4.5,False
5095,39037,KfoTG,zPfZR,zeYAm,ZCIYy,3.0,-3.0,-5.0,-9.5,True
230,11292,GVYCk,THHLT,zeYAm,NdlDR,21.0,-3.0,-11.0,-24.5,True
2307,95517,Lsuai,THHLT,qTmDg,tXtkv,12.0,-3.0,-1.0,0.5,False
1213,10969,KfoTG,THHLT,rXCdD,puHHm,30.0,-3.0,-3.0,,False
1199,55576,Lsuai,THHLT,DtMvg,lwCkE,21.0,,-3.0,-4.5,True
551,52068,Lsuai,mDadf,DtMvg,esAQH,48.0,-2.0,-7.0,-14.5,False
3094,36972,GVYCk,THHLT,rXCdD,vVbnO,21.0,-3.0,-3.0,-4.5,False
4161,87581,Lsuai,zPfZR,zeYAm,ZCIYy,12.0,,,-4.5,True
3261,47857,Lsuai,mDadf,qTmDg,tXtkv,12.0,-3.0,-7.0,-14.5,True
916,8757,Lsuai,THHLT,zeYAm,NdlDR,12.0,-2.0,-1.0,0.5,False
4797,50710,qzGkS,THHLT,zeYAm,QRKWz,21.0,-3.0,-7.0,-14.5,False
4552,79380,qzGkS,THHLT,DtMvg,shPwO,21.0,-3.0,-9.0,-19.5,False
3236,59251,qzGkS,zPfZR,TKfyw,tXtkv,21.0,-3.0,1.0,5.5,False
6635,66690,ljBjd,THHLT,TKfyw,puHHm,30.0,-2.0,-1.0,0.5,False
1963,20105,ljBjd,zPfZR,TKfyw,IJnCs,12.0,-4.0,-1.0,0.5,False
975,16823,,mDadf,DtMvg,mIqzL,12.0,-3.0,-9.0,-19.5,True
3781,70333,qzGkS,WXYiE,DtMvg,bUhyU,39.0,-3.0,3.0,10.5,False
4648,95171,KfoTG,mDadf,zeYAm,NdlDR,3.0,-4.0,-5.0,,False
3109,12820,qzGkS,THHLT,DtMvg,AjMVN,,-2.0,-5.0,-9.5,False
6402,82425,Lsuai,hMHca,DtMvg,qXvRS,12.0,-2.0,-5.0,-9.5,False
7520,88718,qzGkS,THHLT,DtMvg,shPwO,12.0,-2.0,-3.0,-4.5,False
373,55339,KfoTG,THHLT,TKfyw,xzgJe,21.0,-4.0,-7.0,-14.5,True
1432,36190,KfoTG,THHLT,zeYAm,xzgJe,12.0,-3.0,-3.0,-4.5,False
6002,64739,ljBjd,zPfZR,TKfyw,mIqzL,12.0,-4.0,-5.0,-9.5,True
3415,28945,KfoTG,THHLT,rXCdD,,3.0,-4.0,-3.0,-4.5,True
6278,44213,KfoTG,zPfZR,DtMvg,puHHm,21.0,-3.0,-3.0,-4.5,True
2631,69694,,mDadf,zeYAm,yKWYC,21.0,-3.0,-3.0,-4.5,True
6771,73869,qzGkS,zPfZR,,ARuYG,12.0,-4.0,-1.0,0.5,True
6989,83019,Lsuai,mDadf,qTmDg,ARuYG,21.0,-3.0,-9.0,-19.5,True
5231,89816,ljBjd,THHLT,TKfyw,puHHm,57.0,-2.0,-1.0,0.5,False
7817,24462,KfoTG,zPfZR,DtMvg,mIqzL,30.0,,-3.0,-4.5,False
6253,41738,qzGkS,mDadf,DtMvg,BidgV,12.0,-4.0,-1.0,0.5,False
3989,59860,qzGkS,hMHca,DtMvg,sPNOc,30.0,-2.0,1.0,5.5,False
5472,48267,KfoTG,THHLT,qTmDg,hmAUm,30.0,-4.0,,0.5,False
5767,66826,Lsuai,zPfZR,zeYAm,ZCIYy,3.0,-2.0,-7.0,-14.5,True
4321,92917,Lsuai,hMHca,DtMvg,tXtkv,12.0,-3.0,-3.0,-4.5,False
335,66143,qzGkS,,TKfyw,bUhyU,3.0,-3.0,-1.0,0.5,True
6529,80604,ljBjd,THHLT,DtMvg,XAmOF,12.0,-3.0,-7.0,-14.5,False
2494,95594,KfoTG,THHLT,,QRKWz,12.0,-4.0,-5.0,-9.5,True
188,59469,KfoTG,WXYiE,DtMvg,lwCkE,3.0,-3.0,-3.0,-4.5,False
3953,53294,qzGkS,mDadf,DtMvg,lwCkE,3.0,-3.0,1.0,5.5,False
145,21091,qzGkS,THHLT,DtMvg,,3.0,-4.0,3.0,10.5,False
1766,3738,Lsuai,mDadf,qTmDg,qcizG,-6.0,-3.0,3.0,10.5,False
2761,6304,Lsuai,hMHca,DtMvg,RpXJc,48.0,-3.0,-1.0,0.5,False
1437,97,Lsuai,mDadf,DtMvg,ARuYG,3.0,-4.0,-7.0,-14.5,True
5891,51484,qzGkS,,qTmDg,VJaVA,12.0,-4.0,-5.0,-9.5,True
3636,48972,qzGkS,mDadf,DtMvg,qXvRS,3.0,-3.0,-3.0,-4.5,True
6843,66109,qzGkS,THHLT,DtMvg,yKWYC,30.0,-2.0,-13.0,-29.5,False
394,87657,,mDadf,zeYAm,VJaVA,12.0,-2.0,-3.0,-4.5,True
2735,46086,qzGkS,mDadf,rXCdD,QRKWz,21.0,-2.0,1.0,5.5,False
4379,45715,ljBjd,THHLT,DtMvg,esAQH,12.0,-4.0,-3.0,-4.5,True
2321,22340,Lsuai,THHLT,qTmDg,qcizG,30.0,-3.0,-1.0,0.5,False
8127,69,KfoTG,THHLT,DtMvg,esAQH,21.0,-2.0,-7.0,-14.5,True
481,31606,qzGkS,mDadf,DtMvg,BidgV,21.0,-3.0,-1.0,0.5,False
1473,89794,KfoTG,THHLT,rXCdD,IJnCs,39.0,-2.0,-5.0,-9.5,False
2852,70513,qzGkS,zPfZR,DtMvg,NdlDR,12.0,-3.0,-1.0,0.5,False
1386,2869,ljBjd,mDadf,zeYAm,yKWYC,39.0,-2.0,-9.0,-19.5,False
3715,46786,GVYCk,THHLT,qTmDg,mIqzL,3.0,-3.0,-3.0,-4.5,True
3408,69685,KfoTG,THHLT,rXCdD,IJnCs,48.0,-3.0,3.0,10.5,False
158,10271,KfoTG,THHLT,rXCdD,qNABl,48.0,-2.0,-7.0,-14.5,False
365,51899,KfoTG,DnomH,DtMvg,yKWYC,12.0,-3.0,-1.0,0.5,True
4061,58226,KfoTG,THHLT,,esAQH,3.0,-4.0,1.0,5.5,True
5698,38339,KfoTG,THHLT,DtMvg,esAQH,21.0,-3.0,-1.0,0.5,False
5639,34561,qzGkS,THHLT,DtMvg,shPwO,12.0,-2.0,-3.0,-4.5,False
3932,15500,AfgYR,mDadf,rXCdD,qNABl,21.0,-4.0,1.0,5.5,False
2565,12606,AfgYR,mDadf,qTmDg,ZCIYy,21.0,-1.0,-3.0,-4.5,False
6756,49577,ljBjd,mDadf,zeYAm,ZlqSm,12.0,-2.0,-5.0,-9.5,True
6336,53415,Lsuai,THHLT,DtMvg,qXvRS,30.0,-3.0,-1.0,0.5,False
1555,62263,,WXYiE,DtMvg,ARuYG,12.0,-2.0,,,False
2736,86371,KfoTG,THHLT,DtMvg,tXtkv,12.0,-4.0,3.0,10.5,False
5641,55413,KfoTG,zPfZR,rXCdD,puHHm,21.0,-4.0,-9.0,-19.5,True
3438,30230,ljBjd,DnomH,zeYAm,ZlqSm,12.0,-4.0,-11.0,-24.5,True
1790,19005,KfoTG,WXYiE,rXCdD,qNABl,12.0,-4.0,-7.0,-14.5,True
856,46897,Lsuai,THHLT,DtMvg,qXvRS,12.0,-3.0,-7.0,-14.5,False
2097,59215,Lsuai,zPfZR,rXCdD,IDkCg,21.0,-2.0,1.0,5.5,False
7524,7264,Lsuai,THHLT,DtMvg,XHmQd,21.0,-1.0,1.0,5.5,False
487,61881,qzGkS,THHLT,DtMvg,sPNOc,12.0,-3.0,-7.0,-14.5,False
7249,13897,KfoTG,zPfZR,zeYAm,DBUky,12.0,-3.0,3.0,10.5,False
7076,91872,qzGkS,zPfZR,qTmDg,shPwO,21.0,-3.0,-3.0,-4.5,False
3940,79423,qzGkS,THHLT,qTmDg,shPwO,21.0,-4.0,-5.0,-9.5,False
4898,37118,KfoTG,mDadf,zeYAm,ZCIYy,21.0,-2.0,-5.0,-9.5,False
7775,71979,Lsuai,mDadf,DtMvg,QRKWz,21.0,-4.0,-11.0,-24.5,True
5330,53634,ljBjd,mDadf,rXCdD,AjMVN,12.0,-4.0,-11.0,-24.5,False
2651,84637,Lsuai,mDadf,DtMvg,XHmQd,3.0,-4.0,-7.0,-14.5,True
7176,16105,Lsuai,THHLT,qTmDg,hmAUm,12.0,-3.0,-7.0,-14.5,True
7812,86737,KfoTG,zPfZR,zeYAm,yKWYC,12.0,-4.0,3.0,10.5,True
7647,25939,Lsuai,WXYiE,zeYAm,DBUky,12.0,-3.0,-1.0,0.5,False
4606,62704,KfoTG,THHLT,DtMvg,IDkCg,39.0,-2.0,-9.0,-19.5,False
1932,31952,AfgYR,mDadf,rXCdD,ZCIYy,21.0,-2.0,-19.0,-44.5,False
4956,34338,KfoTG,THHLT,DtMvg,hmAUm,12.0,-3.0,-1.0,0.5,False
7475,5228,,mDadf,DtMvg,DBUky,21.0,-3.0,-5.0,-9.5,False
6408,93315,KfoTG,mDadf,zeYAm,,12.0,-3.0,-1.0,0.5,False
1833,98076,qzGkS,THHLT,DtMvg,qcizG,12.0,-3.0,-1.0,0.5,True
5748,83286,qzGkS,zPfZR,rXCdD,IDkCg,21.0,-4.0,-1.0,0.5,True
982,73447,qzGkS,mDadf,qTmDg,DBUky,12.0,-4.0,1.0,5.5,False
1544,99304,qzGkS,zPfZR,qTmDg,shPwO,30.0,-2.0,-3.0,-4.5,False
3978,9249,qzGkS,zPfZR,DtMvg,yKWYC,39.0,-4.0,-11.0,-24.5,True
7505,21769,KfoTG,DnomH,zeYAm,yKWYC,12.0,-4.0,-3.0,-4.5,True
6464,71824,KfoTG,mDadf,rXCdD,SaVqO,21.0,-4.0,-11.0,-24.5,True
7321,47719,GVYCk,mDadf,qTmDg,VJaVA,12.0,-2.0,-7.0,-14.5,True
2189,21012,qzGkS,zPfZR,DtMvg,yKWYC,12.0,-4.0,-1.0,0.5,False
585,62114,Lsuai,zPfZR,rXCdD,SaVqO,12.0,-3.0,-3.0,-4.5,True
8173,19039,qzGkS,WXYiE,DtMvg,vVbnO,21.0,-3.0,-7.0,-14.5,True
3804,10503,Lsuai,THHLT,DtMvg,,12.0,-3.0,-5.0,-9.5,False
3139,87342,qzGkS,THHLT,DtMvg,qXvRS,3.0,-3.0,-1.0,0.5,False
5798,74055,Lsuai,THHLT,DtMvg,qXvRS,39.0,-2.0,-7.0,-14.5,False
780,75603,qzGkS,THHLT,qTmDg,shPwO,48.0,-1.0,,-4.5,False
4423,53561,qzGkS,THHLT,DtMvg,SaVqO,30.0,-3.0,-3.0,-4.5,False
2522,21951,Lsuai,hMHca,DtMvg,qXvRS,30.0,-4.0,-5.0,-9.5,False
7151,44602,Lsuai,THHLT,DtMvg,bUhyU,12.0,-3.0,-3.0,-4.5,False
3475,21693,,WXYiE,DtMvg,ZlqSm,12.0,-3.0,-3.0,-4.5,True
7404,55690,qzGkS,mDadf,TKfyw,puHHm,21.0,-4.0,3.0,,False
298,62717,KfoTG,mDadf,DtMvg,XAmOF,3.0,-2.0,1.0,5.5,False
1360,64253,KfoTG,WXYiE,DtMvg,SaVqO,12.0,-3.0,-3.0,-4.5,False
5392,37280,qzGkS,mDadf,DtMvg,ARuYG,30.0,-2.0,-5.0,-9.5,False
7198,84384,Lsuai,zPfZR,DtMvg,qcizG,12.0,-4.0,-11.0,-24.5,True
7688,1855,qzGkS,THHLT,DtMvg,qXvRS,12.0,-2.0,-3.0,-4.5,False
7367,1137,GVYCk,THHLT,DtMvg,hmAUm,12.0,-4.0,3.0,10.5,False
5636,44117,,THHLT,DtMvg,XAmOF,,-3.0,-1.0,0.5,False
7686,21758,Lsuai,zPfZR,zeYAm,NdlDR,30.0,-4.0,1.0,5.5,False
6172,83265,Lsuai,mDadf,DtMvg,qXvRS,21.0,-3.0,-3.0,-4.5,False
4297,39998,KfoTG,mDadf,DtMvg,ZCIYy,-6.0,-3.0,-3.0,-4.5,True
4383,39315,ljBjd,WXYiE,DtMvg,yygvO,30.0,-1.0,-7.0,-14.5,False
90,54753,Lsuai,mDadf,DtMvg,tXtkv,-6.0,-3.0,3.0,10.5,False
2233,39883,Lsuai,DnomH,DtMvg,qcizG,12.0,-4.0,-1.0,0.5,False
4784,70330,ljBjd,zPfZR,zeYAm,ZlqSm,12.0,-4.0,3.0,10.5,True
5811,62659,ljBjd,mDadf,DtMvg,lwCkE,12.0,-3.0,1.0,5.5,False
8040,72213,KfoTG,zPfZR,TKfyw,ARuYG,3.0,-4.0,3.0,10.5,False
2774,44030,Lsuai,zPfZR,DtMvg,RpXJc,3.0,-2.0,1.0,5.5,False
5127,73755,Lsuai,THHLT,qTmDg,hmAUm,12.0,-3.0,-1.0,0.5,False
276,24568,Lsuai,mDadf,DtMvg,,3.0,-4.0,3.0,10.5,False
2670,66138,Lsuai,mDadf,DtMvg,XAmOF,21.0,-4.0,-7.0,-14.5,True
6193,54043,KfoTG,THHLT,DtMvg,NdlDR,12.0,-3.0,-3.0,-4.5,False
206,44113,qzGkS,THHLT,zeYAm,xzgJe,12.0,-4.0,-3.0,-4.5,True
6793,30102,Lsuai,THHLT,DtMvg,DBUky,3.0,-4.0,1.0,5.5,False
4012,72208,qzGkS,,DtMvg,shPwO,3.0,-3.0,3.0,10.5,False
7927,33257,Lsuai,zPfZR,qTmDg,puHHm,21.0,-3.0,-7.0,-14.5,False
7055,50347,AfgYR,WXYiE,zeYAm,qNABl,30.0,-4.0,1.0,5.5,False
4121,10695,KfoTG,mDadf,rXCdD,vVbnO,21.0,-2.0,-13.0,-29.5,True
6297,41931,KfoTG,mDadf,DtMvg,lwCkE,30.0,-3.0,-11.0,-24.5,True
6712,54944,KfoTG,THHLT,TKfyw,xzgJe,21.0,-3.0,3.0,10.5,False
4787,50763,qzGkS,THHLT,DtMvg,sPNOc,21.0,-3.0,1.0,5.5,False
7991,88938,AfgYR,zPfZR,zeYAm,qNABl,21.0,-4.0,-1.0,0.5,True
6941,14023,Lsuai,THHLT,,hmAUm,12.0,-3.0,-3.0,-4.5,False
6958,18805,ljBjd,zPfZR,rXCdD,IJnCs,21.0,-4.0,3.0,10.5,False
7788,94742,KfoTG,THHLT,DtMvg,XAmOF,12.0,-4.0,-5.0,-9.5,False
75,23370,KfoTG,THHLT,DtMvg,puHHm,21.0,-3.0,-15.0,-34.5,False
141,70708,qzGkS,mDadf,DtMvg,shPwO,30.0,-3.0,-3.0,-4.5,False
7064,9899,qzGkS,THHLT,DtMvg,tXtkv,30.0,-1.0,-5.0,-9.5,False
3423,42202,qzGkS,mDadf,rXCdD,QRKWz,21.0,-4.0,-3.0,-4.5,False
5274,34909,KfoTG,zPfZR,TKfyw,ZCIYy,3.0,-4.0,-5.0,-9.5,True
2257,86952,GVYCk,mDadf,zeYAm,BidgV,12.0,-2.0,-5.0,-9.5,False
3451,71592,ljBjd,WXYiE,rXCdD,AjMVN,12.0,-4.0,-7.0,-14.5,False
4420,91145,KfoTG,zPfZR,DtMvg,ZCIYy,12.0,-4.0,-5.0,-9.5,False
6186,71632,Lsuai,THHLT,zeYAm,hmAUm,12.0,-2.0,-5.0,-9.5,False
6415,80915,Lsuai,zPfZR,zeYAm,BidgV,21.0,-4.0,-13.0,-29.5,True
2853,31636,GVYCk,DnomH,,yygvO,39.0,-2.0,-9.0,-19.5,False
239,72475,Lsuai,hMHca,DtMvg,puHHm,30.0,-3.0,-5.0,-9.5,True
1727,49297,Lsuai,THHLT,qTmDg,SaVqO,21.0,-3.0,-15.0,-34.5,False
5634,58522,Lsuai,mDadf,zeYAm,vVbnO,12.0,-2.0,-3.0,,True
5844,25715,qzGkS,zPfZR,DtMvg,puHHm,30.0,-4.0,1.0,,False
6781,3896,ljBjd,THHLT,DtMvg,AjMVN,21.0,-3.0,-13.0,-29.5,False
266,83293,Lsuai,mDadf,DtMvg,NdlDR,12.0,-4.0,-3.0,-4.5,False
7288,57192,qzGkS,DnomH,DtMvg,yKWYC,39.0,-3.0,-11.0,-24.5,True
5122,79731,ljBjd,zPfZR,DtMvg,puHHm,21.0,-4.0,1.0,5.5,False
